sc67b3p120

NE black even
0, 162, 109, 142, (67) {total: 480} {consumed: 4} glider(d-6)(ph2)(♗⬀⓪)
0, 162, 251, 38, (67) {total: 518} {consumed: 4} glider(d18)(ph0)(♗⬀⓪)
0, 165, 233, 87, (433) {total: 918} {consumed: 8} glider(d20)(ph2)(♗⬀⓪)
0, 170, 109, 142, (67) {total: 488} {consumed: 4} glider(d-4)(ph2)(♗⬀⓪)
0, 170, 251, 38, (67) {total: 526} {consumed: 4} glider(d20)(ph0)(♗⬀⓪)
0, 173, 233, 87, (433) {total: 926} {consumed: 8} glider(d22)(ph2)(♗⬀⓪)
0, 178, 109, 142, (67) {total: 496} {consumed: 4} glider(d-2)(ph2)(♗⬀⓪)
0, 178, 251, 38, (67) {total: 534} {consumed: 4} glider(d22)(ph0)(♗⬀⓪)
0, 181, 233, 87, (433) {total: 934} {consumed: 8} glider(d24)(ph2)(♗⬀⓪)
0, 186, 109, 142, (67) {total: 504} {consumed: 4} glider(d0)(ph2)(♗⬀⓪)
0, 186, 251, 38, (67) {total: 542} {consumed: 4} glider(d24)(ph0)(♗⬀⓪)
0, 189, 233, 87, (433) {total: 942} {consumed: 8} glider(d26)(ph2)(♗⬀⓪)
0, 194, 109, 142, (67) {total: 512} {consumed: 4} glider(d2)(ph2)(♗⬀⓪)
0, 194, 251, 38, (67) {total: 550} {consumed: 4} glider(d26)(ph0)(♗⬀⓪)
0, 197, 233, 87, (433) {total: 950} {consumed: 8} glider(d28)(ph2)(♗⬀⓪)
0, 202, 109, 142, (67) {total: 520} {consumed: 4} glider(d4)(ph2)(♗⬀⓪)
0, 202, 251, 38, (67) {total: 558} {consumed: 4} glider(d28)(ph0)(♗⬀⓪)
0, 205, 233, 87, (433) {total: 958} {consumed: 8} glider(d30)(ph2)(♗⬀⓪)
0, 210, 109, 142, (67) {total: 528} {consumed: 4} glider(d6)(ph2)(♗⬀⓪)
0, 210, 251, 38, (67) {total: 566} {consumed: 4} glider(d30)(ph0)(♗⬀⓪)
