3, 201, (167) {total: 368} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
1, 40, 226, 201, (367) {total: 834} {consumed: 8} glider(d-34)(ph2)(♗⬀⓪)
1, 40, 234, 201, (359) {total: 834} {consumed: 8} glider(d-32)(ph2)(♗⬀⓪)
1, 40, 244, 138, (282) {total: 704} {consumed: 7} glider(d-21)(ph1)(♝⬃①)
1, 40, 236, 138, (290) {total: 704} {consumed: 7} glider(d-23)(ph1)(♝⬃①)
1, 40, 242, 201, (351) {total: 834} {consumed: 8} glider(d-30)(ph2)(♗⬀⓪)
1, 40, 252, 138, (274) {total: 704} {consumed: 7} glider(d-19)(ph1)(♝⬃①)
1, 40, 230, 182, (283) {total: 735} {consumed: 7} glider(d-21)(ph1)(♝⬀①)
1, 40, 250, 201, (343) {total: 834} {consumed: 8} glider(d-28)(ph2)(♗⬀⓪)
1, 41, 67, 138, (458) {total: 704} {consumed: 7} glider(d-65)(ph1)(♝⬃①)
1, 41, 75, 138, (450) {total: 704} {consumed: 7} glider(d-63)(ph1)(♝⬃①)
1, 41, 65, 201, (527) {total: 834} {consumed: 8} glider(d-74)(ph2)(♗⬀⓪)
1, 41, 73, 201, (519) {total: 834} {consumed: 8} glider(d-72)(ph2)(♗⬀⓪)
1, 41, 83, 138, (442) {total: 704} {consumed: 7} glider(d-61)(ph1)(♝⬃①)
1, 41, 81, 201, (511) {total: 834} {consumed: 8} glider(d-70)(ph2)(♗⬀⓪)
1, 41, 91, 138, (434) {total: 704} {consumed: 7} glider(d-59)(ph1)(♝⬃①)
1, 41, 89, 201, (503) {total: 834} {consumed: 8} glider(d-68)(ph2)(♗⬀⓪)
1, 41, 99, 138, (426) {total: 704} {consumed: 7} glider(d-57)(ph1)(♝⬃①)
1, 41, 97, 201, (495) {total: 834} {consumed: 8} glider(d-66)(ph2)(♗⬀⓪)
1, 41, 105, 201, (487) {total: 834} {consumed: 8} glider(d-64)(ph2)(♗⬀⓪)
1, 41, 107, 138, (418) {total: 704} {consumed: 7} glider(d-55)(ph1)(♝⬃①)
1, 42, 89, 38, (202) {total: 371} {consumed: 5} glider(d-18)(ph3)(♗⬃①)
1, 42, 81, 136, (114) {total: 373} {consumed: 4} glider(d-7)(ph3)(♝⬃①)
1, 42, 90, 65, (397) {total: 594} {consumed: 6} glider(d-19)(ph3)(♝⬃①)
1, 42, 105, 233, (214) {total: 594} {consumed: 6} glider(d-23)(ph3)(♝⬀①)
1, 42, 102, 58, (152) {total: 354} {consumed: 4} glider(d-25)(ph2)(♝⬀⓪)
1, 42, 102, 70, (260) {total: 474} {consumed: 5} glider(d-25)(ph2)(♝⬀⓪)
1, 42, 102, 78, (372) {total: 594} {consumed: 6} glider(d-25)(ph2)(♝⬀⓪)
1, 42, 133, 101, (469) {total: 745} {consumed: 7} glider(d-32)(ph1)(♗⬃①)
1, 42, 179, 55, (318) {total: 594} {consumed: 6} glider(d-45)(ph2)(♝⬀⓪)
1, 42, 185, 110, (48) {total: 385} {consumed: 5} glider(d-26)(ph0)(♗⬃⓪)
1, 42, 185, 124, (355) {total: 706} {consumed: 7} glider(d-26)(ph0)(♗⬃⓪)
1, 42, 192, 39, (201) {total: 474} {consumed: 5} glider(d-32)(ph0)(♗⬀⓪)
1, 42, 193, 56, (423) {total: 714} {consumed: 7} glider(d-45)(ph2)(♝⬀⓪)
1, 42, 205, 39, (308) {total: 594} {consumed: 6} glider(d-20)(ph0)(♗⬀⓪)
1, 42, 208, 186, (158) {total: 594} {consumed: 6} glider(d-25)(ph0)(♝⬃⓪)
1, 42, 208, 247, (486) {total: 983} {consumed: 9} glider(d-14)(ph0)(♗⬀⓪)
1, 42, 201, 48, (183) {total: 474} {consumed: 5} glider(d-30)(ph2)(♗⬀⓪)
1, 42, 201, 52, (701) {total: 996} {consumed: 9} glider(d-30)(ph2)(♗⬀⓪)
1, 42, 201, 56, (295) {total: 594} {consumed: 6} glider(d-30)(ph2)(♗⬀⓪)
1, 42, 207, 200, (248) {total: 697} {consumed: 7} glider(d-19)(ph2)(♝⬀⓪)
1, 42, 196, 75, (64) {total: 377} {consumed: 4} glider(d-30)(ph0)(♗⬃⓪)
1, 42, 196, 89, (133) {total: 460} {consumed: 5} glider(d-30)(ph0)(♗⬃⓪)
1, 42, 212, 96, (104) {total: 454} {consumed: 5} glider(d1)(ph1)(♝⬀①)
1, 42, 198, 105, (129) {total: 474} {consumed: 5} glider(d-10)(ph0)(♗⬃⓪)
1, 42, 240, 201, (471) {total: 954} {consumed: 9} glider(d-60)(ph2)(♗⬀⓪)
1, 42, 242, 138, (402) {total: 824} {consumed: 8} glider(d-51)(ph1)(♝⬃①)
1, 42, 248, 201, (463) {total: 954} {consumed: 9} glider(d-58)(ph2)(♗⬀⓪)
1, 42, 250, 138, (394) {total: 824} {consumed: 8} glider(d-49)(ph1)(♝⬃①)
1, 42, 256, 201, (455) {total: 954} {consumed: 9} glider(d-56)(ph2)(♗⬀⓪)
1, 44, 137, 50, (123) {total: 354} {consumed: 4} glider(d-24)(ph2)(♗⬀⓪)
1, 44, 138, 38, (254) {total: 474} {consumed: 5} glider(d-21)(ph1)(♝⬃①)
1, 44, 138, 48, (124) {total: 354} {consumed: 4} glider(d-21)(ph1)(♝⬃①)
1, 44, 138, 56, (51) {total: 289} {consumed: 3} glider(d-21)(ph1)(♝⬃①)
1, 44, 144, 119, (99) {total: 406} {consumed: 4} glider(d-20)(ph1)(♗⬀①)
1, 44, 134, 67, (260) {total: 505} {consumed: 5} glider(d-17)(ph2)(♝⬃⓪)
1, 44, 134, 73, (68) {total: 319} {consumed: 4} glider(d-17)(ph2)(♝⬃⓪)
1, 44, 134, 74, (38) {total: 290} {consumed: 3} glider(d-17)(ph2)(♝⬃⓪)
1, 44, 138, 116, (536) {total: 834} {consumed: 8} glider(d-21)(ph1)(♝⬃①)
1, 45, 87, 163, (38) {total: 333} {consumed: 3} glider(d2)(ph1)(♗⬃①)
1, 45, 87, 179, (624) {total: 935} {consumed: 8} glider(d-9)(ph3)(♝⬀①)
1, 45, 107, 235, (38) {total: 425} {consumed: 4} glider(d4)(ph0)(♗⬀⓪)
1, 45, 102, 120, (147) {total: 414} {consumed: 3} glider(d22)(ph3)(♗⬀①)
1, 46, 136, 153, (96) {total: 431} {consumed: 4} glider(d-14)(ph2)(♗⬀⓪)
1, 46, 139, 151, (498) {total: 834} {consumed: 8} glider(d-32)(ph1)(♗⬃①)
1, 46, 148, 106, (174) {total: 474} {consumed: 5} glider(d-14)(ph2)(♗⬀⓪)
1, 46, 175, 199, (72) {total: 492} {consumed: 5} glider(d-4)(ph0)(♗⬀⓪)
1, 46, 178, 87, (120) {total: 431} {consumed: 4} glider(d-12)(ph2)(♗⬃⓪)
1, 46, 252, 220, (209) {total: 727} {consumed: 7} glider(d-18)(ph1)(♗⬃①)
1, 48, 92, 134, (200) {total: 474} {consumed: 5} glider(d-30)(ph1)(♗⬃①)
1, 48, 92, 163, (291) {total: 594} {consumed: 6} glider(d-23)(ph3)(♝⬃①)
1, 48, 92, 207, (367) {total: 714} {consumed: 7} glider(d-23)(ph3)(♝⬃①)
1, 48, 250, 201, (335) {total: 834} {consumed: 8} glider(d-26)(ph2)(♗⬀⓪)
1, 50, 105, 233, (206) {total: 594} {consumed: 6} glider(d-21)(ph3)(♝⬀①)
1, 50, 102, 58, (144) {total: 354} {consumed: 4} glider(d-23)(ph2)(♝⬀⓪)
1, 50, 102, 70, (252) {total: 474} {consumed: 5} glider(d-23)(ph2)(♝⬀⓪)
1, 50, 102, 78, (364) {total: 594} {consumed: 6} glider(d-23)(ph2)(♝⬀⓪)
1, 50, 179, 55, (310) {total: 594} {consumed: 6} glider(d-43)(ph2)(♝⬀⓪)
1, 50, 192, 39, (193) {total: 474} {consumed: 5} glider(d-30)(ph0)(♗⬀⓪)
1, 50, 201, 48, (175) {total: 474} {consumed: 5} glider(d-28)(ph2)(♗⬀⓪)
1, 50, 196, 67, (165) {total: 478} {consumed: 5} glider(d-28)(ph0)(♗⬃⓪)
1, 50, 198, 105, (121) {total: 474} {consumed: 5} glider(d-8)(ph0)(♗⬃⓪)
1, 50, 205, 39, (300) {total: 594} {consumed: 6} glider(d-18)(ph0)(♗⬀⓪)
1, 50, 196, 216, (125) {total: 587} {consumed: 6} glider(d-28)(ph0)(♗⬃⓪)
1, 50, 201, 56, (287) {total: 594} {consumed: 6} glider(d-28)(ph2)(♗⬀⓪)
1, 50, 201, 63, (640) {total: 954} {consumed: 9} glider(d-28)(ph2)(♗⬀⓪)
1, 50, 193, 56, (415) {total: 714} {consumed: 7} glider(d-43)(ph2)(♝⬀⓪)
1, 50, 193, 125, (53) {total: 421} {consumed: 5} glider(d-43)(ph2)(♝⬀⓪)
1, 50, 211, 183, (150) {total: 594} {consumed: 6} glider(d-23)(ph0)(♝⬃⓪)
1, 50, 211, 244, (486) {total: 991} {consumed: 9} glider(d-12)(ph0)(♗⬀⓪)
1, 50, 219, 197, (122) {total: 588} {consumed: 7} glider(d-26)(ph1)(♗⬃①)
1, 50, 250, 138, (386) {total: 824} {consumed: 8} glider(d-47)(ph1)(♝⬃①)
1, 50, 256, 201, (447) {total: 954} {consumed: 9} glider(d-54)(ph2)(♗⬀⓪)
1, 52, 138, 38, (246) {total: 474} {consumed: 5} glider(d-19)(ph1)(♝⬃①)
1, 52, 138, 46, (38) {total: 274} {consumed: 3} glider(d-19)(ph1)(♝⬃①)
1, 52, 138, 48, (116) {total: 354} {consumed: 4} glider(d-19)(ph1)(♝⬃①)
1, 52, 138, 116, (528) {total: 834} {consumed: 8} glider(d-19)(ph1)(♝⬃①)
1, 54, 139, 151, (490) {total: 834} {consumed: 8} glider(d-30)(ph1)(♗⬃①)
1, 54, 136, 153, (38) {total: 381} {consumed: 4} glider(d-14)(ph1)(♗⬀①)
1, 54, 140, 77, (105) {total: 376} {consumed: 4} glider(d-3)(ph2)(♝⬀⓪)
1, 54, 140, 80, (298) {total: 572} {consumed: 6} glider(d-9)(ph1)(♝⬀①)
1, 54, 158, 201, (54) {total: 467} {consumed: 5} glider(d-5)(ph1)(♝⬃①)
1, 54, 166, 163, (38) {total: 421} {consumed: 4} glider(d-21)(ph2)(♝⬃⓪)
1, 54, 170, 87, (38) {total: 349} {consumed: 4} glider(d-10)(ph1)(♗⬃①)
1, 56, 92, 134, (192) {total: 474} {consumed: 5} glider(d-28)(ph1)(♗⬃①)
1, 56, 92, 163, (283) {total: 594} {consumed: 6} glider(d-21)(ph3)(♝⬃①)
1, 56, 92, 207, (359) {total: 714} {consumed: 7} glider(d-21)(ph3)(♝⬃①)
1, 56, 250, 201, (327) {total: 834} {consumed: 8} glider(d-24)(ph2)(♗⬀⓪)
1, 58, 105, 233, (198) {total: 594} {consumed: 6} glider(d-19)(ph3)(♝⬀①)
1, 58, 102, 58, (136) {total: 354} {consumed: 4} glider(d-21)(ph2)(♝⬀⓪)
1, 58, 102, 70, (244) {total: 474} {consumed: 5} glider(d-21)(ph2)(♝⬀⓪)
1, 58, 102, 78, (356) {total: 594} {consumed: 6} glider(d-21)(ph2)(♝⬀⓪)
1, 58, 119, 144, (695) {total: 1016} {consumed: 10} glider(d-12)(ph3)(♗⬀①)
1, 58, 129, 144, (325) {total: 656} {consumed: 7} glider(d-12)(ph3)(♗⬀①)
1, 58, 149, 68, (138) {total: 413} {consumed: 5} glider(d-19)(ph3)(♝⬀①)
1, 58, 154, 97, (137) {total: 446} {consumed: 4} glider(d-8)(ph2)(♗⬃⓪)
1, 58, 166, 100, (59) {total: 383} {consumed: 5} glider(d-16)(ph3)(♗⬃①)
1, 58, 192, 38, (306) {total: 594} {consumed: 6} glider(d-41)(ph2)(♝⬀⓪)
1, 58, 192, 39, (185) {total: 474} {consumed: 5} glider(d-28)(ph0)(♗⬀⓪)
1, 58, 193, 56, (75) {total: 382} {consumed: 5} glider(d-41)(ph2)(♝⬀⓪)
