sc35/67b3p46

NE black even
0, 80, 103, 38, (67) {total: 288} {consumed: 4} glider(d16)(ph2)(♗⬀⓪)
2, 46, 62, 113, (67) {total: 288} {consumed: 7} glider(d-2)(ph0)(♗⬀⓪)
5, 76, 60, 87, (67) {total: 290} {consumed: 4} glider(d16)(ph0)(♗⬀⓪)
1, 85, 103, 38, (67) {total: 293} {consumed: 5} glider(d6)(ph0)(♗⬀⓪)
2, 38, 60, 75, (121) {total: 294} {consumed: 7} glider(d-4)(ph2)(♗⬀⓪)
0, 88, 103, 38, (67) {total: 296} {consumed: 4} glider(d18)(ph2)(♗⬀⓪)
5, 116, 45, 68, (67) {total: 296} {consumed: 5} glider(d2)(ph2)(♗⬀⓪)
2, 90, 73, 69, (67) {total: 299} {consumed: 6} glider(d-2)(ph2)(♗⬀⓪)
1, 93, 103, 38, (67) {total: 301} {consumed: 5} glider(d8)(ph0)(♗⬀⓪)
1, 49, 113, 61, (79) {total: 302} {consumed: 7} glider(d-8)(ph0)(♗⬀⓪)
2, 35, 76, 124, (67) {total: 302} {consumed: 7} glider(d-14)(ph0)(♗⬀⓪)
5, 83, 65, 88, (67) {total: 303} {consumed: 6} glider(d14)(ph2)(♗⬀⓪)
0, 96, 103, 38, (67) {total: 304} {consumed: 4} glider(d20)(ph2)(♗⬀⓪)
1, 101, 103, 38, (67) {total: 309} {consumed: 5} glider(d10)(ph0)(♗⬀⓪)
0, 104, 103, 38, (67) {total: 312} {consumed: 4} glider(d22)(ph2)(♗⬀⓪)
5, 100, 42, 103, (67) {total: 312} {consumed: 5} glider(d10)(ph2)(♗⬀⓪)
1, 109, 103, 38, (67) {total: 317} {consumed: 5} glider(d12)(ph0)(♗⬀⓪)
5, 90, 46, 114, (67) {total: 317} {consumed: 6} glider(d2)(ph2)(♗⬀⓪)
5, 72, 76, 103, (67) {total: 318} {consumed: 6} glider(d0)(ph0)(♗⬀⓪)
2, 45, 101, 105, (67) {total: 318} {consumed: 7} glider(d-10)(ph0)(♗⬀⓪)
5, 97, 55, 100, (67) {total: 319} {consumed: 6} glider(d16)(ph0)(♗⬀⓪)
7, 63, 94, 35, (127) {total: 319} {consumed: 7} glider(d-6)(ph0)(♗⬀⓪)
0, 112, 103, 38, (67) {total: 320} {consumed: 4} glider(d24)(ph2)(♗⬀⓪)
1, 117, 103, 38, (67) {total: 325} {consumed: 5} glider(d14)(ph0)(♗⬀⓪)
2, 118, 63, 79, (67) {total: 327} {consumed: 7} glider(d-10)(ph2)(♗⬀⓪)
0, 120, 103, 38, (67) {total: 328} {consumed: 4} glider(d26)(ph2)(♗⬀⓪)
5, 111, 61, 37, (120) {total: 329} {consumed: 6} glider(d14)(ph0)(♗⬀⓪)
7, 49, 128, 56, (96) {total: 329} {consumed: 8} glider(d4)(ph0)(♗⬀⓪)
5, 60, 73, 72, (126) {total: 331} {consumed: 5} glider(d44)(ph2)(♗⬀⓪)
1, 125, 103, 38, (67) {total: 333} {consumed: 5} glider(d16)(ph0)(♗⬀⓪)
5, 83, 68, 115, (67) {total: 333} {consumed: 6} glider(d6)(ph2)(♗⬀⓪)
0, 128, 103, 38, (67) {total: 336} {consumed: 4} glider(d28)(ph2)(♗⬀⓪)
2, 108, 36, 126, (67) {total: 337} {consumed: 6} glider(d4)(ph0)(♗⬀⓪)
5, 98, 121, 48, (70) {total: 337} {consumed: 7} glider(d2)(ph0)(♗⬀⓪)
2, 56, 40, 110, (133) {total: 339} {consumed: 7} glider(d-6)(ph2)(♗⬀⓪)
5, 111, 51, 112, (67) {total: 341} {consumed: 7} glider(d12)(ph0)(♗⬀⓪)
5, 108, 123, 44, (67) {total: 342} {consumed: 6} glider(d6)(ph0)(♗⬀⓪)
2, 76, 121, 79, (67) {total: 343} {consumed: 7} glider(d6)(ph0)(♗⬀⓪)
