sc67b6p120

NE black even
7, 169, (367) {total: 536} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
1, 40, 206, 169, (529) {total: 944} {consumed: 9} glider(d-30)(ph2)(♗⬀⓪)
1, 42, 252, 169, (367) {total: 830} {consumed: 8} glider(d-18)(ph2)(♗⬀⓪)
1, 46, 160, 129, (367) {total: 702} {consumed: 7} glider(d-20)(ph2)(♗⬀⓪)
1, 48, 92, 36, (168) {total: 344} {consumed: 4} glider(d-24)(ph2)(♗⬀⓪)
1, 48, 92, 38, (166) {total: 344} {consumed: 4} glider(d-24)(ph0)(♗⬀⓪)
1, 48, 92, 114, (210) {total: 464} {consumed: 5} glider(d-24)(ph0)(♗⬀⓪)
1, 48, 92, 117, (327) {total: 584} {consumed: 6} glider(d-26)(ph2)(♗⬀⓪)
1, 50, 252, 169, (367) {total: 838} {consumed: 8} glider(d-16)(ph2)(♗⬀⓪)
1, 54, 153, 37, (382) {total: 626} {consumed: 6} glider(d-12)(ph2)(♗⬀⓪)
1, 54, 148, 149, (367) {total: 718} {consumed: 7} glider(d-16)(ph2)(♗⬀⓪)
1, 54, 163, 126, (367) {total: 710} {consumed: 7} glider(d-18)(ph2)(♗⬀⓪)
1, 54, 156, 149, (487) {total: 846} {consumed: 8} glider(d-14)(ph2)(♗⬀⓪)
1, 56, 92, 36, (160) {total: 344} {consumed: 4} glider(d-22)(ph2)(♗⬀⓪)
1, 56, 92, 38, (158) {total: 344} {consumed: 4} glider(d-22)(ph0)(♗⬀⓪)
1, 56, 92, 114, (202) {total: 464} {consumed: 5} glider(d-22)(ph0)(♗⬀⓪)
1, 56, 92, 117, (319) {total: 584} {consumed: 6} glider(d-24)(ph2)(♗⬀⓪)
1, 61, 129, 169, (367) {total: 726} {consumed: 7} glider(d-14)(ph2)(♗⬀⓪)
1, 61, 137, 169, (367) {total: 734} {consumed: 7} glider(d-12)(ph2)(♗⬀⓪)
1, 61, 153, 169, (367) {total: 750} {consumed: 7} glider(d-8)(ph2)(♗⬀⓪)
1, 61, 161, 169, (367) {total: 758} {consumed: 7} glider(d-6)(ph2)(♗⬀⓪)
1, 61, 169, 169, (367) {total: 766} {consumed: 7} glider(d-4)(ph2)(♗⬀⓪)
1, 61, 177, 169, (367) {total: 774} {consumed: 7} glider(d-2)(ph2)(♗⬀⓪)
