'glider(d11)(ph3)(♝⬃①)' (20, 97, 124) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 125) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 126) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 127) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 128) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 129) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 130) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 131) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 132) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 133) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 134) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 135) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 136) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 137) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 138) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 139) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 140) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 141) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 142) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 143) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 144) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 145) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 146) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 147) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 148) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 149) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 150) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 151) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 152) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
